2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:11:32,223 - INFO - ############Start Training###########
2021-01-19 00:11:32,223 - INFO - #####################################
2021-01-19 00:12:17,547 - INFO - ####################################
2021-01-19 00:12:17,547 - INFO - ############Loading Model###########
2021-01-19 00:12:17,548 - INFO - ####################################
2021-01-19 00:13:08,009 - INFO - Env 08, Goal (005.0, 003.6), Episode 00005, setp 098, Reward 34.2 , Distance 008.3, Reach Goal
2021-01-19 00:13:08,717 - INFO - Env 03, Goal (002.3, 006.8), Episode 00003, setp 102, Reward 35.5 , Distance 008.8, Reach Goal
2021-01-19 00:13:09,102 - INFO - Env 09, Goal (-02.4, -01.6), Episode 00005, setp 087, Reward 34.1 , Distance 008.1, Reach Goal
2021-01-19 00:13:11,200 - INFO - Env 11, Goal (-03.5, -02.0), Episode 00003, setp 115, Reward 35.8 , Distance 008.9, Reach Goal
2021-01-19 00:13:12,464 - INFO - Env 06, Goal (002.0, 004.5), Episode 00005, setp 034, Reward -8.7 , Distance 008.5, Crashed
2021-01-19 00:13:13,457 - INFO - Env 07, Goal (005.2, -01.5), Episode 00004, setp 080, Reward 34.5 , Distance 008.4, Reach Goal
2021-01-19 00:13:13,860 - INFO - Env 10, Goal (-08.3, -03.0), Episode 00004, setp 076, Reward 0.2  , Distance 008.7, Crashed
2021-01-19 00:13:15,082 - INFO - Env 01, Goal (-06.2, -03.6), Episode 00004, setp 119, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-19 00:13:16,179 - INFO - Env 05, Goal (-05.8, 001.5), Episode 00003, setp 121, Reward 36.2 , Distance 009.0, Reach Goal
2021-01-19 00:13:17,593 - INFO - Env 02, Goal (001.6, -01.9), Episode 00007, setp 096, Reward 37.9 , Distance 009.7, Reach Goal
2021-01-19 00:13:20,310 - INFO - Env 09, Goal (-07.9, 003.5), Episode 00006, setp 077, Reward 33.8 , Distance 008.1, Reach Goal
2021-01-19 00:13:21,540 - INFO - Env 00, Goal (007.8, 003.5), Episode 00005, setp 095, Reward 37.0 , Distance 009.4, Reach Goal
2021-01-19 00:13:21,908 - INFO - Env 11, Goal (-01.8, -04.8), Episode 00004, setp 071, Reward -3.0 , Distance 008.3, Crashed
2021-01-19 00:13:21,910 - INFO - Env 04, Goal (000.1, 001.2), Episode 00005, setp 093, Reward -1.5 , Distance 009.6, Crashed
2021-01-19 00:13:22,564 - INFO - Env 03, Goal (-07.1, -04.3), Episode 00004, setp 091, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-19 00:13:25,969 - INFO - Env 08, Goal (005.2, -01.6), Episode 00006, setp 122, Reward 38.1 , Distance 009.8, Reach Goal
2021-01-19 00:13:26,700 - INFO - Env 10, Goal (006.7, -02.3), Episode 00005, setp 092, Reward 36.6 , Distance 009.1, Reach Goal
2021-01-19 00:13:27,071 - INFO - Env 06, Goal (-07.6, 000.7), Episode 00006, setp 100, Reward 35.4 , Distance 008.7, Reach Goal
2021-01-19 00:13:28,163 - INFO - Env 07, Goal (004.8, 001.4), Episode 00005, setp 100, Reward 37.1 , Distance 009.4, Reach Goal
2021-01-19 00:13:30,692 - INFO - Env 05, Goal (-03.7, -05.4), Episode 00004, setp 102, Reward 36.5 , Distance 009.2, Reach Goal
2021-01-19 00:13:31,272 - INFO - Env 05, Goal (003.2, -06.3), Episode 00005, setp 004, Reward -15.0, Distance 009.7, Crashed
2021-01-19 00:13:31,660 - INFO - Env 02, Goal (-02.1, 003.5), Episode 00008, setp 096, Reward 34.9 , Distance 008.5, Reach Goal
2021-01-19 00:13:32,493 - INFO - Env 11, Goal (-05.8, 000.3), Episode 00005, setp 070, Reward 33.7 , Distance 008.0, Reach Goal
2021-01-19 00:13:32,899 - INFO - Env 01, Goal (-01.5, -06.6), Episode 00005, setp 119, Reward 38.1 , Distance 009.8, Reach Goal
2021-01-19 00:13:33,577 - INFO - Env 09, Goal (-00.4, -08.1), Episode 00007, setp 084, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-19 00:13:34,687 - INFO - Env 03, Goal (004.3, -02.2), Episode 00005, setp 077, Reward 33.9 , Distance 008.1, Reach Goal
2021-01-19 00:13:36,077 - INFO - Env 04, Goal (-00.5, 000.7), Episode 00006, setp 090, Reward 35.2 , Distance 008.6, Reach Goal
2021-01-19 00:13:38,785 - INFO - Env 05, Goal (000.8, -01.0), Episode 00006, setp 047, Reward -8.1 , Distance 008.1, Crashed
2021-01-19 00:13:40,296 - INFO - Env 00, Goal (-03.8, 000.3), Episode 00006, setp 121, Reward 38.3 , Distance 009.8, Reach Goal
2021-01-19 00:13:41,360 - INFO - Env 07, Goal (007.4, 004.6), Episode 00006, setp 084, Reward 36.8 , Distance 009.2, Reach Goal
2021-01-19 00:13:41,892 - INFO - Env 08, Goal (-04.0, 000.1), Episode 00007, setp 097, Reward 33.9 , Distance 008.1, Reach Goal
2021-01-19 00:13:42,492 - INFO - Env 06, Goal (-01.9, 000.4), Episode 00007, setp 095, Reward 38.1 , Distance 009.8, Reach Goal
2021-01-19 00:13:43,369 - INFO - Env 10, Goal (002.7, -07.6), Episode 00006, setp 100, Reward 36.8 , Distance 009.2, Reach Goal
2021-01-19 00:13:45,463 - INFO - Env 02, Goal (-02.8, 001.7), Episode 00009, setp 086, Reward 36.3 , Distance 009.1, Reach Goal
2021-01-19 00:13:45,868 - INFO - Env 02, Goal (002.6, -03.8), Episode 00010, setp 002, Reward -15.0, Distance 008.7, Crashed
2021-01-19 00:13:45,903 - INFO - Env 10, Goal (005.7, 000.4), Episode 00007, setp 016, Reward -15.1, Distance 009.7, Crashed
2021-01-19 00:13:47,468 - INFO - Env 09, Goal (002.5, 005.5), Episode 00008, setp 089, Reward 35.7 , Distance 008.9, Reach Goal
2021-01-19 00:13:48,520 - INFO - Env 03, Goal (007.6, 004.5), Episode 00006, setp 089, Reward 37.2 , Distance 009.4, Reach Goal
2021-01-19 00:13:50,979 - INFO - Env 07, Goal (005.7, -04.1), Episode 00007, setp 063, Reward 0.6  , Distance 009.8, Crashed
2021-01-19 00:13:53,177 - INFO - Env 01, Goal (000.7, -01.5), Episode 00006, setp 135, Reward 36.0 , Distance 008.9, Reach Goal
2021-01-19 00:13:53,606 - INFO - Env 05, Goal (-05.0, -04.3), Episode 00007, setp 097, Reward 35.1 , Distance 008.7, Reach Goal
2021-01-19 00:13:54,200 - INFO - Env 08, Goal (-06.7, 004.1), Episode 00008, setp 080, Reward 35.7 , Distance 008.8, Reach Goal
2021-01-19 00:13:54,202 - INFO - Env 04, Goal (-02.7, -03.1), Episode 00007, setp 119, Reward 38.4 , Distance 009.9, Reach Goal
