2021-01-10 23:38:15,901 - INFO - #####################################
2021-01-10 23:38:15,903 - INFO - ############Start Training###########
2021-01-10 23:38:15,903 - INFO - #####################################
2021-01-10 23:38:47,200 - INFO - Env 23, Goal (-04.5, 006.5), Episode 00003, setp 082, Reward -28.7, Distance 009.3, Crashed
2021-01-10 23:38:47,614 - INFO - Env 18, Goal (-02.6, 005.7), Episode 00003, setp 065, Reward -16.5, Distance 009.0, Crashed
2021-01-10 23:38:48,974 - INFO - Env 19, Goal (003.1, 001.7), Episode 00002, setp 025, Reward -18.7, Distance 009.6, Crashed
2021-01-10 23:38:49,402 - INFO - Env 19, Goal (-03.9, 004.4), Episode 00003, setp 002, Reward -15.0, Distance 008.3, Crashed
2021-01-10 23:38:49,403 - INFO - Env 23, Goal (-02.3, 004.3), Episode 00004, setp 014, Reward -15.5, Distance 008.0, Crashed
2021-01-10 23:38:49,770 - INFO - Env 04, Goal (007.1, -05.3), Episode 00002, setp 027, Reward -13.1, Distance 008.2, Crashed
2021-01-10 23:38:49,771 - INFO - Env 23, Goal (-03.4, 003.7), Episode 00005, setp 002, Reward -15.0, Distance 009.2, Crashed
2021-01-10 23:38:49,773 - INFO - Env 19, Goal (-03.7, 007.6), Episode 00004, setp 002, Reward -15.0, Distance 008.4, Crashed
2021-01-10 23:38:49,775 - INFO - Env 12, Goal (-04.2, 003.2), Episode 00002, setp 063, Reward -6.6 , Distance 008.9, Crashed
2021-01-10 23:38:50,185 - INFO - Env 13, Goal (-02.8, 001.7), Episode 00002, setp 028, Reward -20.0, Distance 009.6, Crashed
2021-01-10 23:38:50,773 - INFO - Env 00, Goal (-07.4, 002.1), Episode 00002, setp 152, Reward 21.5 , Distance 009.4, Time out
2021-01-10 23:38:52,201 - INFO - Env 21, Goal (-05.5, 002.6), Episode 00002, setp 152, Reward -11.5, Distance 008.3, Time out
2021-01-10 23:38:52,910 - INFO - Env 10, Goal (004.1, 006.4), Episode 00003, setp 152, Reward 16.4 , Distance 009.0, Time out
2021-01-10 23:38:53,402 - INFO - Env 06, Goal (002.8, 003.3), Episode 00003, setp 091, Reward -20.4, Distance 008.5, Crashed
2021-01-10 23:38:54,415 - INFO - Env 13, Goal (002.3, 000.1), Episode 00003, setp 027, Reward -18.1, Distance 008.5, Crashed
2021-01-10 23:38:55,707 - INFO - Env 19, Goal (-03.6, 000.6), Episode 00005, setp 037, Reward -21.8, Distance 009.8, Crashed
2021-01-10 23:38:56,108 - INFO - Env 11, Goal (-00.4, 003.6), Episode 00004, setp 053, Reward -9.1 , Distance 008.1, Crashed
2021-01-10 23:38:56,722 - INFO - Env 03, Goal (001.0, -06.3), Episode 00002, setp 067, Reward -8.6 , Distance 009.0, Crashed
2021-01-10 23:38:57,101 - INFO - Env 03, Goal (008.6, 001.9), Episode 00003, setp 002, Reward -15.0, Distance 009.8, Crashed
2021-01-10 23:38:57,104 - INFO - Env 09, Goal (000.5, 007.1), Episode 00002, setp 068, Reward -16.4, Distance 008.1, Crashed
2021-01-10 23:38:57,593 - INFO - Env 15, Goal (005.4, -05.8), Episode 00002, setp 116, Reward -15.9, Distance 010.0, Crashed
2021-01-10 23:38:58,105 - INFO - Env 23, Goal (005.4, 006.5), Episode 00006, setp 046, Reward -12.3, Distance 009.3, Crashed
2021-01-10 23:38:58,519 - INFO - Env 16, Goal (005.4, 007.1), Episode 00002, setp 152, Reward -8.5 , Distance 008.8, Time out
2021-01-10 23:38:59,106 - INFO - Env 02, Goal (-02.7, 008.2), Episode 00004, setp 152, Reward 18.7 , Distance 009.3, Time out
2021-01-10 23:38:59,807 - INFO - Env 20, Goal (004.8, 005.1), Episode 00004, setp 073, Reward -9.5 , Distance 009.1, Crashed
2021-01-10 23:39:00,200 - INFO - Env 05, Goal (-05.9, 006.6), Episode 00002, setp 089, Reward 1.3  , Distance 009.8, Crashed
2021-01-10 23:39:00,604 - INFO - Env 04, Goal (007.4, 000.1), Episode 00003, setp 056, Reward -23.4, Distance 009.1, Crashed
2021-01-10 23:39:01,021 - INFO - Env 00, Goal (002.8, 006.9), Episode 00003, setp 054, Reward -7.3 , Distance 008.8, Crashed
2021-01-10 23:39:03,183 - INFO - Env 19, Goal (002.2, -06.9), Episode 00006, setp 040, Reward -17.4, Distance 008.3, Crashed
2021-01-10 23:39:03,819 - INFO - Env 23, Goal (-01.7, -06.5), Episode 00007, setp 034, Reward -14.3, Distance 008.1, Crashed
2021-01-10 23:39:05,429 - INFO - Env 14, Goal (-04.4, 002.1), Episode 00004, setp 103, Reward -6.6 , Distance 008.7, Crashed
2021-01-10 23:39:05,438 - INFO - Env 16, Goal (003.9, 002.2), Episode 00003, setp 036, Reward -18.8, Distance 009.0, Crashed
2021-01-10 23:39:05,801 - INFO - Env 11, Goal (-04.2, -00.6), Episode 00005, setp 046, Reward -9.4 , Distance 008.4, Crashed
2021-01-10 23:39:05,807 - INFO - Env 10, Goal (000.5, 001.8), Episode 00004, setp 064, Reward -9.3 , Distance 008.9, Crashed
2021-01-10 23:39:06,395 - INFO - Env 07, Goal (-00.4, 001.1), Episode 00003, setp 152, Reward 13.6 , Distance 008.7, Time out
2021-01-10 23:39:07,720 - INFO - Env 17, Goal (-03.8, -03.6), Episode 00003, setp 152, Reward 11.5 , Distance 009.9, Time out
2021-01-10 23:39:08,344 - INFO - Env 18, Goal (-00.1, 001.1), Episode 00004, setp 112, Reward -15.4, Distance 008.3, Crashed
2021-01-10 23:39:08,841 - INFO - Env 05, Goal (005.6, -04.8), Episode 00003, setp 047, Reward -21.3, Distance 009.3, Crashed
2021-01-10 23:39:09,404 - INFO - Env 15, Goal (-01.1, 000.9), Episode 00003, setp 062, Reward -7.6 , Distance 008.2, Crashed
2021-01-10 23:39:09,912 - INFO - Env 01, Goal (-00.6, 007.6), Episode 00004, setp 152, Reward 11.0 , Distance 009.3, Time out
2021-01-10 23:39:09,915 - INFO - Env 08, Goal (000.7, 005.4), Episode 00004, setp 152, Reward 2.9  , Distance 009.5, Time out
2021-01-10 23:39:10,905 - INFO - Env 18, Goal (-02.8, -02.6), Episode 00005, setp 016, Reward -16.0, Distance 009.7, Crashed
2021-01-10 23:39:11,317 - INFO - Env 04, Goal (003.1, -03.5), Episode 00004, setp 060, Reward -24.3, Distance 008.5, Crashed
2021-01-10 23:39:12,528 - INFO - Env 18, Goal (006.4, -01.9), Episode 00006, setp 009, Reward -16.1, Distance 009.9, Crashed
2021-01-10 23:39:12,999 - INFO - Env 04, Goal (-00.8, 007.7), Episode 00005, setp 010, Reward -14.4, Distance 008.5, Crashed
2021-01-10 23:39:13,402 - INFO - Env 12, Goal (-06.2, -00.5), Episode 00003, setp 125, Reward -17.5, Distance 009.6, Crashed
2021-01-10 23:39:13,409 - INFO - Env 10, Goal (-01.1, 004.1), Episode 00005, setp 043, Reward -12.0, Distance 008.5, Crashed
2021-01-10 23:39:13,417 - INFO - Env 04, Goal (008.3, 001.7), Episode 00006, setp 002, Reward -15.0, Distance 008.5, Crashed
2021-01-10 23:39:13,417 - INFO - Env 16, Goal (005.1, 003.2), Episode 00004, setp 044, Reward -21.7, Distance 010.0, Crashed
2021-01-10 23:39:13,810 - INFO - Env 22, Goal (000.0, 008.7), Episode 00002, setp 152, Reward 20.6 , Distance 009.6, Time out
2021-01-10 23:39:14,500 - INFO - Env 09, Goal (004.5, -03.0), Episode 00003, setp 088, Reward -2.7 , Distance 009.7, Crashed
2021-01-10 23:39:15,732 - INFO - Env 09, Goal (-03.8, 000.4), Episode 00004, setp 010, Reward -14.9, Distance 010.0, Crashed
2021-01-10 23:39:16,099 - INFO - Env 09, Goal (006.1, -02.2), Episode 00005, setp 002, Reward -15.0, Distance 008.6, Crashed
2021-01-10 23:39:18,102 - INFO - Env 02, Goal (007.4, 003.5), Episode 00005, setp 108, Reward -29.7, Distance 008.8, Crashed
2021-01-10 23:39:18,693 - INFO - Env 12, Goal (001.2, -06.7), Episode 00004, setp 036, Reward -16.2, Distance 008.7, Crashed
2021-01-10 23:39:18,693 - INFO - Env 08, Goal (-05.7, 005.5), Episode 00005, setp 054, Reward -23.2, Distance 009.9, Crashed
2021-01-10 23:39:19,101 - INFO - Env 23, Goal (004.0, -07.2), Episode 00008, setp 083, Reward -25.2, Distance 009.8, Crashed
