2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:52:12,540 - INFO - ############Loading Model###########
2021-01-17 16:52:12,540 - INFO - ####################################
2021-01-17 16:56:09,749 - INFO - Env 00, Goal (003.3, 003.7), Episode 00002, setp 081, Reward 37.1 , Distance 009.4, Reach Goal
2021-01-17 16:56:11,138 - INFO - Env 07, Goal (000.2, -05.6), Episode 00004, setp 077, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-17 16:56:14,116 - INFO - Env 10, Goal (-03.0, 001.1), Episode 00003, setp 074, Reward 36.1 , Distance 009.0, Reach Goal
2021-01-17 16:56:14,510 - INFO - Env 10, Goal (-02.2, -00.3), Episode 00004, setp 002, Reward -15.0, Distance 008.8, Crashed
2021-01-17 16:56:14,524 - INFO - Env 00, Goal (000.3, -05.6), Episode 00003, setp 035, Reward -13.2, Distance 009.0, Crashed
2021-01-17 16:56:14,933 - INFO - Env 11, Goal (001.7, 003.3), Episode 00003, setp 085, Reward 33.6 , Distance 008.0, Reach Goal
2021-01-17 16:56:18,212 - INFO - Env 01, Goal (-07.0, 003.4), Episode 00003, setp 082, Reward 36.1 , Distance 009.0, Reach Goal
2021-01-17 16:56:18,918 - INFO - Env 05, Goal (002.7, -04.7), Episode 00004, setp 090, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-17 16:56:19,344 - INFO - Env 11, Goal (007.6, 001.0), Episode 00004, setp 030, Reward -8.0 , Distance 008.1, Crashed
2021-01-17 16:56:19,829 - INFO - Env 08, Goal (000.6, 000.3), Episode 00004, setp 070, Reward 34.0 , Distance 008.1, Reach Goal
2021-01-17 16:56:21,643 - INFO - Env 03, Goal (008.2, 001.8), Episode 00003, setp 096, Reward 36.7 , Distance 009.2, Reach Goal
2021-01-17 16:56:22,156 - INFO - Env 04, Goal (007.1, -04.2), Episode 00004, setp 082, Reward 36.7 , Distance 009.2, Reach Goal
2021-01-17 16:56:22,852 - INFO - Env 02, Goal (007.2, -01.5), Episode 00002, setp 122, Reward 35.6 , Distance 008.9, Reach Goal
2021-01-17 16:56:23,249 - INFO - Env 04, Goal (-02.3, 006.3), Episode 00005, setp 005, Reward -13.6, Distance 008.8, Crashed
2021-01-17 16:56:24,627 - INFO - Env 08, Goal (-01.0, 003.4), Episode 00005, setp 026, Reward -12.2, Distance 009.3, Crashed
2021-01-17 16:56:25,415 - INFO - Env 09, Goal (008.6, -02.3), Episode 00006, setp 098, Reward 34.8 , Distance 008.5, Reach Goal
2021-01-17 16:56:25,835 - INFO - Env 07, Goal (-06.8, 001.9), Episode 00005, setp 088, Reward 38.4 , Distance 009.9, Reach Goal
2021-01-17 16:56:27,334 - INFO - Env 06, Goal (-00.3, 004.1), Episode 00004, setp 108, Reward 37.9 , Distance 009.7, Reach Goal
2021-01-17 16:56:27,749 - INFO - Env 01, Goal (-03.7, -06.4), Episode 00004, setp 047, Reward -3.1 , Distance 008.2, Crashed
2021-01-17 16:56:28,540 - INFO - Env 00, Goal (002.9, 001.9), Episode 00004, setp 077, Reward 34.0 , Distance 008.2, Reach Goal
2021-01-17 16:56:30,031 - INFO - Env 10, Goal (008.0, 000.7), Episode 00005, setp 088, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-17 16:56:33,064 - INFO - Env 11, Goal (-01.7, -06.2), Episode 00005, setp 081, Reward 37.8 , Distance 009.7, Reach Goal
2021-01-17 16:56:34,223 - INFO - Env 05, Goal (002.0, -06.0), Episode 00005, setp 089, Reward 35.5 , Distance 008.8, Reach Goal
2021-01-17 16:56:35,806 - INFO - Env 03, Goal (-02.4, 002.0), Episode 00004, setp 084, Reward 36.8 , Distance 009.3, Reach Goal
2021-01-17 16:56:36,231 - INFO - Env 04, Goal (002.8, 007.1), Episode 00006, setp 079, Reward 34.4 , Distance 008.4, Reach Goal
2021-01-17 16:56:37,710 - INFO - Env 07, Goal (007.6, 004.4), Episode 00006, setp 076, Reward 35.2 , Distance 008.6, Reach Goal
2021-01-17 16:56:38,887 - INFO - Env 06, Goal (005.8, 003.7), Episode 00005, setp 073, Reward 33.6 , Distance 008.0, Reach Goal
2021-01-17 16:56:39,555 - INFO - Env 08, Goal (-00.7, 000.6), Episode 00006, setp 091, Reward 36.3 , Distance 009.1, Reach Goal
2021-01-17 16:56:40,212 - INFO - Env 01, Goal (001.1, -04.3), Episode 00005, setp 081, Reward 36.0 , Distance 009.0, Reach Goal
2021-01-17 16:56:40,928 - INFO - Env 02, Goal (002.3, -03.8), Episode 00003, setp 109, Reward 38.6 , Distance 010.0, Reach Goal
2021-01-17 16:56:41,344 - INFO - Env 02, Goal (-05.2, -04.1), Episode 00004, setp 002, Reward -15.0, Distance 009.4, Crashed
2021-01-17 16:56:41,756 - INFO - Env 09, Goal (-05.7, 005.2), Episode 00007, setp 098, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-17 16:56:43,726 - INFO - Env 10, Goal (003.2, 006.0), Episode 00006, setp 082, Reward 36.3 , Distance 009.0, Reach Goal
2021-01-17 16:56:43,731 - INFO - Env 00, Goal (005.4, -03.1), Episode 00005, setp 093, Reward 36.0 , Distance 008.9, Reach Goal
2021-01-17 16:56:47,352 - INFO - Env 11, Goal (001.6, 008.5), Episode 00006, setp 086, Reward 37.2 , Distance 009.4, Reach Goal
2021-01-17 16:56:50,242 - INFO - Env 07, Goal (001.8, -04.8), Episode 00007, setp 085, Reward 33.9 , Distance 008.0, Reach Goal
2021-01-17 16:56:50,812 - INFO - Env 05, Goal (-00.1, 001.6), Episode 00006, setp 107, Reward 35.8 , Distance 008.9, Reach Goal
2021-01-17 16:56:51,253 - INFO - Env 03, Goal (004.9, -01.0), Episode 00005, setp 100, Reward 36.8 , Distance 009.3, Reach Goal
2021-01-17 16:56:51,257 - INFO - Env 04, Goal (-01.0, -02.0), Episode 00007, setp 099, Reward 35.8 , Distance 008.9, Reach Goal
2021-01-17 16:56:51,604 - INFO - Env 03, Goal (-03.3, 005.9), Episode 00006, setp 002, Reward -15.0, Distance 008.2, Crashed
2021-01-17 16:56:51,604 - INFO - Env 06, Goal (-04.6, -03.3), Episode 00006, setp 084, Reward 5.0  , Distance 009.1, Crashed
2021-01-17 16:56:52,042 - INFO - Env 01, Goal (-02.3, 001.1), Episode 00006, setp 076, Reward -0.7 , Distance 008.5, Crashed
2021-01-17 16:56:52,043 - INFO - Env 03, Goal (-08.3, -00.9), Episode 00007, setp 002, Reward -15.0, Distance 008.9, Crashed
2021-01-17 16:56:52,405 - INFO - Env 01, Goal (-01.0, -03.3), Episode 00007, setp 002, Reward -15.0, Distance 008.8, Crashed
2021-01-17 16:56:52,414 - INFO - Env 05, Goal (002.3, 005.5), Episode 00007, setp 005, Reward -13.6, Distance 009.3, Crashed
2021-01-17 16:56:54,670 - INFO - Env 00, Goal (-03.6, 003.9), Episode 00006, setp 074, Reward 33.9 , Distance 008.1, Reach Goal
2021-01-17 16:56:55,613 - INFO - Env 02, Goal (007.7, -00.8), Episode 00005, setp 093, Reward 33.6 , Distance 008.0, Reach Goal
2021-01-17 16:56:56,628 - INFO - Env 08, Goal (-00.7, 001.0), Episode 00007, setp 108, Reward 34.6 , Distance 008.4, Reach Goal
2021-01-17 16:56:56,630 - INFO - Env 09, Goal (000.7, 001.1), Episode 00008, setp 098, Reward 37.7 , Distance 009.7, Reach Goal
2021-01-17 16:56:58,734 - INFO - Env 10, Goal (004.2, -04.0), Episode 00007, setp 101, Reward 38.5 , Distance 009.9, Reach Goal
2021-01-17 16:57:01,234 - INFO - Env 11, Goal (000.4, -05.4), Episode 00007, setp 091, Reward 34.3 , Distance 008.3, Reach Goal
2021-01-17 16:57:03,051 - INFO - Env 07, Goal (-08.2, -01.9), Episode 00008, setp 074, Reward 36.2 , Distance 009.1, Reach Goal
2021-01-17 16:57:04,822 - INFO - Env 03, Goal (004.4, 001.6), Episode 00008, setp 078, Reward 36.1 , Distance 009.0, Reach Goal
2021-01-17 16:57:05,257 - INFO - Env 06, Goal (-01.8, -02.0), Episode 00007, setp 080, Reward 35.0 , Distance 008.5, Reach Goal
2021-01-17 16:57:08,431 - INFO - Env 04, Goal (-01.1, -02.5), Episode 00008, setp 103, Reward 38.0 , Distance 009.8, Reach Goal
2021-01-17 16:57:09,041 - INFO - Env 05, Goal (-00.1, -05.7), Episode 00008, setp 103, Reward 36.7 , Distance 009.3, Reach Goal
2021-01-17 16:57:09,449 - INFO - Env 05, Goal (007.0, -01.0), Episode 00009, setp 002, Reward -15.0, Distance 008.6, Crashed
2021-01-17 16:57:09,465 - INFO - Env 08, Goal (003.0, 007.5), Episode 00008, setp 077, Reward 36.3 , Distance 009.0, Reach Goal
2021-01-17 16:57:09,467 - INFO - Env 02, Goal (-00.3, -06.9), Episode 00006, setp 083, Reward 4.0  , Distance 009.9, Crashed
2021-01-17 16:57:09,819 - INFO - Env 04, Goal (-02.2, 005.0), Episode 00009, setp 006, Reward -13.8, Distance 009.6, Crashed
2021-01-17 16:57:09,822 - INFO - Env 02, Goal (-01.7, 004.2), Episode 00007, setp 002, Reward -15.0, Distance 008.1, Crashed
2021-01-17 16:57:11,033 - INFO - Env 09, Goal (-03.7, -01.4), Episode 00009, setp 086, Reward 37.8 , Distance 009.8, Reach Goal
2021-01-17 16:57:11,062 - INFO - Env 00, Goal (-03.7, 002.3), Episode 00007, setp 099, Reward 37.9 , Distance 009.7, Reach Goal
2021-01-17 16:57:11,660 - INFO - Env 00, Goal (-01.0, 006.8), Episode 00008, setp 003, Reward -15.0, Distance 009.2, Crashed
2021-01-17 16:57:12,608 - INFO - Env 01, Goal (004.2, -04.5), Episode 00008, setp 120, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-17 16:57:14,361 - INFO - Env 10, Goal (002.8, 007.1), Episode 00008, setp 090, Reward 36.9 , Distance 009.3, Reach Goal
2021-01-17 16:57:16,818 - INFO - Env 07, Goal (-04.3, 007.1), Episode 00009, setp 085, Reward 35.0 , Distance 008.6, Reach Goal
2021-01-17 16:57:17,418 - INFO - Env 06, Goal (005.0, 006.6), Episode 00008, setp 077, Reward 34.1 , Distance 008.2, Reach Goal
2021-01-17 16:57:18,211 - INFO - Env 11, Goal (-04.0, 000.3), Episode 00008, setp 100, Reward 35.8 , Distance 008.9, Reach Goal
